time	popsize	log10_popsize
0	19394.5763405816	4.2876802972149
315.802625767532	19394.5763405816	4.2876802972149
408.436728781133	18460.3222410615	4.26623927774587
528.243110746751	18460.3222410615	4.26623927774587
683.192192054139	18749.2461592125	4.2729838109717
883.59234940881	18749.2461592125	4.2729838109717
1142.77570647633	21622.6897019709	4.33490971598491
1477.98508688564	21622.6897019709	4.33490971598491
1911.52113636712	29723.2114368743	4.47309573086126
2472.22592920584	29723.2114368743	4.47309573086126
3197.40175965486	44147.8858358218	4.64490991081685
4135.29277072508	44147.8858358218	4.64490991081685
5348.29451693834	61994.635325454	4.79235410966993
6917.10498526498	61994.635325454	4.79235410966993
8946.09323133678	71211.6067524058	4.85255078489677
11570.2427929398	71211.6067524058	4.85255078489677
14964.1318088042	47486.9861950372	4.67657460756057
19353.5472676429	47486.9861950372	4.67657460756057
25030.5060545188	10837.6516812545	4.03493518881145
32372.6821073667	10837.6516812545	4.03493518881145
41868.5321240409	150032.955108677	5.17618666338819
54149.7913706366	150032.955108677	5.17618666338819
70033.5014563313	314561.117955056	5.49770503964406
90576.3660779971	314561.117955056	5.49770503964406
117145.05088698	117321.59604075	5.06937796248253
151507.104353205	117321.59604075	5.06937796248253
195948.548365386	393274.428036765	5.59469570810926
253425.96157729	393274.428036765	5.59469570810926
327763.173226546	792041.967231291	5.89874819377901
423905.652976169	792041.967231291	5.89874819377901
548249.520701793	1583141.75805432	6.19951980430288
709067.064426818	1583141.75805432	6.19951980430288
917057.075054585	1084485.23471378	6.03522364346318
1186056.6102975	1084485.23471378	6.03522364346318
1533961.5396857	5477604.78963923	6.73859069460824
1983917.11222344	5477604.78963923	6.73859069460824
2565857.75219594	1181206.9245269	6.07232598424208
3318498.52190927	1181206.9245269	6.07232598424208
4291910.73842236	92924279.3438971	7.96812920169477
5550853.09364161	92924279.3438971	7.96812920169477
