Sample	Study	Site	Country	Year	ENA	Population	QC_pass	Fws	Artemisinin	SiteCountry
PH0610-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123865	ESEA	True	0.9988455	Sensitive	PreahVihear_Cambodia
PH0611-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123866	ESEA	True	0.99995095	Resistant	PreahVihear_Cambodia
PH0617-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123871	ESEA	True	0.9998229	Sensitive	Ratanakiri_Cambodia
PH0619-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123873	ESEA	True	0.9990137	Sensitive	Ratanakiri_Cambodia
PH0621-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR114344	ESEA	True	0.99818844	Sensitive	Ratanakiri_Cambodia
PH0623-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123876	ESEA	True	0.9988732	Sensitive	Ratanakiri_Cambodia
PH0624-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123877	ESEA	True	0.9994843	Sensitive	Ratanakiri_Cambodia
PH0625-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123878	ESEA	True	0.997294	Sensitive	Ratanakiri_Cambodia
PH0626-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123879	ESEA	True	0.9990931	Sensitive	Ratanakiri_Cambodia
PH0630-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR114350	ESEA	True	0.9986121	Sensitive	Ratanakiri_Cambodia
PH0631-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123883	ESEA	True	0.9949459	Sensitive	Ratanakiri_Cambodia
PH0632-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR114341	ESEA	True	0.9994244	Sensitive	Ratanakiri_Cambodia
PH0633-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123884	ESEA	True	0.99947923	Sensitive	Ratanakiri_Cambodia
PH0636-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123887	ESEA	True	0.9996273	Sensitive	Ratanakiri_Cambodia
PH0638-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123888	ESEA	True	0.9982506	Undetermined	Ratanakiri_Cambodia
PH0639-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123889	ESEA	True	0.99939483	Sensitive	Ratanakiri_Cambodia
PH0640-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123890	ESEA	True	0.999547	Sensitive	Ratanakiri_Cambodia
PH0644-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123892	ESEA	True	0.97300386	Sensitive	Ratanakiri_Cambodia
PH0647-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123895	ESEA	True	0.99948794	Sensitive	Ratanakiri_Cambodia
PH0648-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123896	ESEA	True	0.96346	Sensitive	Ratanakiri_Cambodia
PH0650-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123898	ESEA	True	0.9969977	Sensitive	Ratanakiri_Cambodia
PH0676-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR216648	ESEA	True	0.999477	Resistant	Pursat_Cambodia
PH0677-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR337565	ESEA	True	0.9997893	Resistant	Pursat_Cambodia
PH0678-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR216649	ESEA	True	0.9989817	Sensitive	Pursat_Cambodia
PH0679-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175474	ESEA	True	0.9979415	Sensitive	Pursat_Cambodia
PH0680-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175475	ESEA	True	0.9998207	Resistant	Pursat_Cambodia
PH0682-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR216651	ESEA	True	0.99638784	Resistant	Pursat_Cambodia
PH0684-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171656	ESEA	True	0.99631923	Resistant	Pursat_Cambodia
PH0685-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175476	ESEA	True	0.999688	Resistant	Pursat_Cambodia
PH0686-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175477	ESEA	True	0.9837476	Resistant	Pursat_Cambodia
PH0687-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR337566	ESEA	True	0.99994177	Resistant	Pursat_Cambodia
PH0692-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175479	ESEA	True	0.99642843	Resistant	Pursat_Cambodia
PH0694-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205974	ESEA	True	0.9947724	Resistant	Pursat_Cambodia
PH0695-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175480	ESEA	True	0.99343103	Resistant	Pursat_Cambodia
PH0696-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175481	ESEA	True	0.9999452	Resistant	Pursat_Cambodia
PH0697-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175482	ESEA	True	0.9988128	Resistant	Pursat_Cambodia
PH0700-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175484	ESEA	True	0.9909578	Resistant	Pursat_Cambodia
PH0701-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175485	ESEA	True	0.9958424	Resistant	Pursat_Cambodia
PH0702-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171585	ESEA	True	0.9988703	Resistant	Pursat_Cambodia
PH0703-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171586	ESEA	True	1	Resistant	Pursat_Cambodia
PH0706-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171588	ESEA	True	0.9997111	Resistant	Pursat_Cambodia
PH0708-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171590	ESEA	True	0.9670099	Resistant	Pursat_Cambodia
PH0709-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171651	ESEA	True	0.99635166	Sensitive	Pursat_Cambodia
PH0712-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205971	ESEA	True	0.99154836	Resistant	Pursat_Cambodia
PH0715-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205968	ESEA	True	0.9898391	Resistant	Pursat_Cambodia
PH0716-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171592	ESEA	True	0.99505734	Resistant	Pursat_Cambodia
PH0717-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171593	ESEA	True	0.96301657	Sensitive	Pursat_Cambodia
PH0718-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171594	ESEA	True	0.9768032	Resistant	Pursat_Cambodia
PH0719-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205963	ESEA	True	0.99957263	Resistant	Pursat_Cambodia
PH0722-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171595	ESEA	True	0.99940145	Resistant	Pursat_Cambodia
PH0723-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171596	ESEA	True	0.9963672	Resistant	Pursat_Cambodia
PH0725-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171597	ESEA	True	0.9715415	Sensitive	Pursat_Cambodia
PH0727-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR205972	ESEA	True	0.99408805	Sensitive	PreahVihear_Cambodia
PH0728-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR216653	ESEA	True	0.99852395	Resistant	PreahVihear_Cambodia
PH0729-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR205967	ESEA	True	0.995324	Sensitive	PreahVihear_Cambodia
PH0730-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171598	ESEA	True	0.9996549	Sensitive	PreahVihear_Cambodia
PH0731-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171599	ESEA	True	0.99976295	Resistant	PreahVihear_Cambodia
PH0732-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171600	ESEA	True	0.9982249	Sensitive	PreahVihear_Cambodia
PH0737-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR205965	ESEA	True	0.990871	Sensitive	PreahVihear_Cambodia
PH0738-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171605	ESEA	True	0.9997819	Resistant	PreahVihear_Cambodia
PH0739-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171606	ESEA	True	0.99829715	Sensitive	PreahVihear_Cambodia
PH0742-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171607	ESEA	True	0.997152	Sensitive	PreahVihear_Cambodia
PH0743-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171608	ESEA	True	0.9968053	Sensitive	PreahVihear_Cambodia
PH0745-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171610	ESEA	True	0.99973756	Resistant	PreahVihear_Cambodia
PH0746-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171611	ESEA	True	0.9998785	Sensitive	PreahVihear_Cambodia
PH0752-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR216654	ESEA	True	0.997777	Sensitive	PreahVihear_Cambodia
PH0753-Cx	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR388775	ESEA	True	0.9989883	Resistant	PreahVihear_Cambodia
PH0754-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171653	ESEA	True	0.99952424	Sensitive	PreahVihear_Cambodia
PH0755-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171613	ESEA	True	0.99893737	Resistant	PreahVihear_Cambodia
PH0756-Cx	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR388765	ESEA	True	0.9998607	Sensitive	PreahVihear_Cambodia
PH0757-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171614	ESEA	True	0.9985101	Resistant	PreahVihear_Cambodia
PH0758-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171615	ESEA	True	0.998842	Sensitive	PreahVihear_Cambodia
PH0759-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171650	ESEA	True	0.99946636	Sensitive	PreahVihear_Cambodia
PH0761-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171652	ESEA	True	0.99829644	Sensitive	PreahVihear_Cambodia
PH0762-Cx	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR388776	ESEA	True	0.999368	Sensitive	PreahVihear_Cambodia
PH0764-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171618	ESEA	True	0.975771	Sensitive	Ratanakiri_Cambodia
PH0765-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171619	ESEA	True	0.998786	Sensitive	Ratanakiri_Cambodia
PH0770-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171623	ESEA	True	0.99962246	Sensitive	Ratanakiri_Cambodia
PH0772-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171624	ESEA	True	0.9994832	Sensitive	Ratanakiri_Cambodia
PH0773-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR404183	ESEA	True	0.9989661	Sensitive	Ratanakiri_Cambodia
PH0775-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR388772	ESEA	True	0.9994872	Sensitive	Ratanakiri_Cambodia
PH0776-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171626	ESEA	True	0.99910724	Sensitive	Ratanakiri_Cambodia
PH0778-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171628	ESEA	True	0.9989832	Sensitive	Ratanakiri_Cambodia
PH0780-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171629	ESEA	True	0.9975664	Sensitive	Ratanakiri_Cambodia
PH0783-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171630	ESEA	True	0.99932003	Sensitive	Ratanakiri_Cambodia
PH0784-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR205962	ESEA	True	0.9976217	Resistant	Ratanakiri_Cambodia
PH0785-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR388779	ESEA	True	0.99856395	Sensitive	Ratanakiri_Cambodia
PH0788-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171654	ESEA	True	0.9976694	Sensitive	Ratanakiri_Cambodia
PH0789-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171631	ESEA	True	0.9964281	Sensitive	Ratanakiri_Cambodia
PH0790-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171632	ESEA	True	0.99914956	Sensitive	Ratanakiri_Cambodia
PH0793-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171634	ESEA	True	0.99826455	Sensitive	Ratanakiri_Cambodia
PH0794-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR337561	ESEA	True	0.99631923	Sensitive	Ratanakiri_Cambodia
PH0795-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171635	ESEA	True	0.9993857	Sensitive	Ratanakiri_Cambodia
PH0797-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171636	ESEA	True	0.997356	Sensitive	Ratanakiri_Cambodia
PH0801-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171637	ESEA	True	0.9989243	Sensitive	Ratanakiri_Cambodia
PH0805-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171639	ESEA	True	0.9986883	Sensitive	Ratanakiri_Cambodia
PH0807-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171640	ESEA	True	0.9974198	Sensitive	Ratanakiri_Cambodia
PH0810-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171641	ESEA	True	0.9980415	Sensitive	Ratanakiri_Cambodia
PH0813-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171643	ESEA	True	0.99964815	Sensitive	Ratanakiri_Cambodia
PH0814-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR388767	ESEA	True	1	Sensitive	Ratanakiri_Cambodia
PH0817-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175488	ESEA	True	0.9861598	Resistant	Pailin_Cambodia
PH0818-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175497	ESEA	True	0.99952084	Resistant	Pailin_Cambodia
PH0819-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175504	ESEA	True	0.9988813	Resistant	Pailin_Cambodia
PH0820-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175495	ESEA	True	0.99914306	Resistant	Pailin_Cambodia
PH0822-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175498	ESEA	True	0.99565613	Resistant	Pailin_Cambodia
PH0823-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175490	ESEA	True	0.9990784	Resistant	Pailin_Cambodia
PH0825-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR164732	ESEA	True	0.9968602	Resistant	Pailin_Cambodia
PH0826-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175506	ESEA	True	0.99948275	Resistant	Pailin_Cambodia
PH0828-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175492	ESEA	True	0.99913824	Resistant	Pailin_Cambodia
PH0829-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175520	ESEA	True	0.9873748	Resistant	Pailin_Cambodia
PH0830-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR171561	ESEA	True	0.9947257	Resistant	Pailin_Cambodia
PH0831-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175502	ESEA	True	0.99949896	Resistant	Pailin_Cambodia
PH0832-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175516	ESEA	True	0.99786544	Resistant	Pailin_Cambodia
PH0833-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180081	ESEA	True	0.99935955	Resistant	Pailin_Cambodia
PH0834-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175508	ESEA	True	0.99977833	Resistant	Pailin_Cambodia
PH0835-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180066	ESEA	True	0.9961918	Resistant	Pailin_Cambodia
PH0836-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR171575	ESEA	True	0.9701063	Resistant	Pailin_Cambodia
PH0837-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175519	ESEA	True	0.9992839	Resistant	Pailin_Cambodia
PH0838-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR171566	ESEA	True	0.969112	Resistant	Pailin_Cambodia
PH0839-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180077	ESEA	True	0.99933654	Resistant	Pailin_Cambodia
PH0840-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR171567	ESEA	True	0.9987318	Resistant	Pailin_Cambodia
PH0841-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180068	ESEA	True	0.99868506	Resistant	Pailin_Cambodia
PH0842-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180057	ESEA	True	0.99440014	Resistant	Pailin_Cambodia
PH0843-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175487	ESEA	True	0.9997108	Resistant	Pailin_Cambodia
PH0844-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180054	ESEA	True	0.9998231	Resistant	Pailin_Cambodia
PH0845-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180086	ESEA	True	0.98070174	Resistant	Pailin_Cambodia
PH0846-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180048	ESEA	True	0.99611306	Resistant	Pailin_Cambodia
PH0847-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180051	ESEA	True	0.99934584	Resistant	Pailin_Cambodia
PH0848-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180090	ESEA	True	0.9967963	Sensitive	Pailin_Cambodia
PH0850-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR171578	ESEA	True	0.99152637	Resistant	Pailin_Cambodia
PH0851-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180055	ESEA	True	0.9963277	Resistant	Pailin_Cambodia
PH0852-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180059	ESEA	True	0.9993549	Resistant	Pailin_Cambodia
PH0853-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175518	ESEA	True	0.99924237	Resistant	Pailin_Cambodia
PH0854-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175507	ESEA	True	0.9993833	Resistant	Pailin_Cambodia
PH0855-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR171565	ESEA	True	0.9994981	Resistant	Pailin_Cambodia
PH0856-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180093	ESEA	True	0.9991044	Resistant	Pailin_Cambodia
PH0858-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR175511	ESEA	True	0.99942994	Resistant	Pailin_Cambodia
PH0860-Cx	1052-PF-TRAC-WHITE	Pursat	Cambodia	2012	ERR388741	ESEA	True	0.99670786	Resistant	Pursat_Cambodia
PH0865-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216646	ESEA	True	0.9985373	Sensitive	PreahVihear_Cambodia
PH0866-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216535	ESEA	True	0.99862975	Sensitive	PreahVihear_Cambodia
PH0868-Cx	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR388749	ESEA	True	0.9971314	Resistant	PreahVihear_Cambodia
PH0870-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216611	ESEA	True	0.968709	Resistant	PreahVihear_Cambodia
PH0871-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216612	ESEA	True	0.9991784	Sensitive	PreahVihear_Cambodia
PH0872-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216491	ESEA	True	0.99977714	Sensitive	PreahVihear_Cambodia
PH0873-Cx	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR388744	ESEA	True	0.9985469	Sensitive	PreahVihear_Cambodia
PH0874-Cx	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR388751	ESEA	True	0.99756795	Resistant	PreahVihear_Cambodia
PH0875-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216613	ESEA	True	0.9992903	Sensitive	PreahVihear_Cambodia
PH0877-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR216615	ESEA	True	0.99880755	Sensitive	Ratanakiri_Cambodia
PH0878-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR216616	ESEA	True	0.9986561	Sensitive	Ratanakiri_Cambodia
PH0879-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR216617	ESEA	True	0.9988946	Sensitive	Ratanakiri_Cambodia
PH0880-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR216618	ESEA	True	0.9985874	Sensitive	Ratanakiri_Cambodia
PH0885-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR388797	ESEA	True	0.9990077	Sensitive	Ratanakiri_Cambodia
PH0886-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR216536	ESEA	True	0.9990869	Resistant	Pailin_Cambodia
PH0887-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR216537	ESEA	True	0.99866176	Resistant	Pailin_Cambodia
PH0888-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR216538	ESEA	True	0.9979883	Resistant	Pailin_Cambodia
PH0889-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR216551	ESEA	True	0.9981565	Resistant	Pailin_Cambodia
PH0890-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR216552	ESEA	True	0.9993253	Resistant	Pailin_Cambodia
PH0891-Cx	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR388746	ESEA	True	0.99941856	Resistant	Pailin_Cambodia
PH0894-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216555	ESEA	True	0.9988043	Resistant	Pailin_Cambodia
PH0895-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216620	ESEA	True	0.99804527	Sensitive	Pailin_Cambodia
PH0896-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216492	ESEA	True	0.99948466	Resistant	Pailin_Cambodia
PH0899-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216493	ESEA	True	0.9995169	Resistant	Pailin_Cambodia
PH0900-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216557	ESEA	True	0.9994233	Resistant	Pailin_Cambodia
PH0901-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216621	ESEA	True	0.9813678	Resistant	Pailin_Cambodia
PH0902-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216622	ESEA	True	0.9960828	Resistant	Pailin_Cambodia
PH0904-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216624	ESEA	True	0.9993632	Resistant	Pailin_Cambodia
PH0907-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216558	ESEA	True	0.9993027	Resistant	Pailin_Cambodia
PH0908-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216559	ESEA	True	0.9993971	Resistant	Pailin_Cambodia
PH0909-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216627	ESEA	True	0.9965715	Resistant	Pailin_Cambodia
PH0910-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216628	ESEA	True	0.99805146	Resistant	Pailin_Cambodia
PH0911-Cx	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR388747	ESEA	True	0.9958883	Resistant	Pailin_Cambodia
PH0912-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216629	ESEA	True	0.99960905	Resistant	Pailin_Cambodia
PH0915-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216560	ESEA	True	0.999548	Resistant	Pailin_Cambodia
PH0920-Cx	1052-PF-TRAC-WHITE	Pursat	Cambodia	2012	ERR388758	ESEA	True	0.9916917	Resistant	Pursat_Cambodia
PH0921-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235928	ESEA	True	0.9964158	Sensitive	PreahVihear_Cambodia
PH0923-Cx	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR388759	ESEA	True	0.9993243	Sensitive	PreahVihear_Cambodia
PH0924-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235929	ESEA	True	0.99919415	Sensitive	PreahVihear_Cambodia
PH0925-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235930	ESEA	True	0.99819285	Sensitive	PreahVihear_Cambodia
PH0926-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235931	ESEA	True	0.9976623	Sensitive	PreahVihear_Cambodia
PH0927-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235932	ESEA	True	0.9980938	Sensitive	PreahVihear_Cambodia
PH0928-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235933	ESEA	True	0.99970645	Sensitive	PreahVihear_Cambodia
PH0929-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235934	ESEA	True	0.9999087	Sensitive	PreahVihear_Cambodia
PH0930-Cx	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR388761	ESEA	True	0.98786664	Sensitive	PreahVihear_Cambodia
PH0931-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR234508	ESEA	True	0.9980948	Sensitive	PreahVihear_Cambodia
PH0932-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR234509	ESEA	True	0.9871085	Sensitive	PreahVihear_Cambodia
