Sample	Study	Site	Country	Year	ENA	Population	QC_pass	Fws	Artemisinin	SiteCountry
PD0522-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216507	WSEA	True	0.9991003	Resistant	MaeSot_Thailand
PD0523-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221495	WSEA	True	0.99993455	Resistant	MaeSot_Thailand
PD0524-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221496	WSEA	True	0.9781233	Sensitive	MaeSot_Thailand
PD0525-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221497	WSEA	True	0.99948406	Resistant	MaeSot_Thailand
PD0527-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216508	WSEA	True	0.9989143	Resistant	MaeSot_Thailand
PD0528-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221499	WSEA	True	0.9998138	Resistant	MaeSot_Thailand
PD0529-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221500	WSEA	True	0.9984361	Resistant	MaeSot_Thailand
PD0530-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221501	WSEA	True	0.9993415	Resistant	MaeSot_Thailand
PD0532-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221502	WSEA	True	0.9995655	Sensitive	MaeSot_Thailand
PD0533-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216510	WSEA	True	0.9987243	Resistant	MaeSot_Thailand
PD0535-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221503	WSEA	True	0.99997467	Resistant	MaeSot_Thailand
PD0539-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221505	WSEA	True	0.9986409	Resistant	MaeSot_Thailand
PD0540-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221506	WSEA	True	0.9590827	Resistant	MaeSot_Thailand
PD0541-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221507	WSEA	True	0.9974629	Sensitive	MaeSot_Thailand
PD0543-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221508	WSEA	True	0.9973175	Sensitive	MaeSot_Thailand
PD0544-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221509	WSEA	True	0.9992162	Sensitive	MaeSot_Thailand
PD0545-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221510	WSEA	True	0.96738034	Resistant	MaeSot_Thailand
PD0546-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221511	WSEA	True	0.99831975	Resistant	MaeSot_Thailand
PD0547-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223062	WSEA	True	0.9983398	Resistant	MaeSot_Thailand
PD0548-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223063	WSEA	True	0.9972534	Resistant	MaeSot_Thailand
PD0549-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216514	WSEA	True	0.9990526	Resistant	MaeSot_Thailand
PD0550-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR216515	WSEA	True	0.99677527	Sensitive	MaeSot_Thailand
PD0552-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR216516	WSEA	True	0.9991426	Resistant	MaeSot_Thailand
PD0553-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216517	WSEA	True	0.9987411	Resistant	MaeSot_Thailand
PD0555-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216518	WSEA	True	0.99725354	Undetermined	MaeSot_Thailand
PD0556-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216519	WSEA	True	0.99818283	Resistant	MaeSot_Thailand
PD0557-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223065	WSEA	True	0.9931553	Resistant	MaeSot_Thailand
PD0558-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223066	WSEA	True	0.99834716	Resistant	MaeSot_Thailand
PD0559-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216520	WSEA	True	0.9899504	Resistant	MaeSot_Thailand
PD0561-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223067	WSEA	True	0.9991775	Sensitive	MaeSot_Thailand
PD0562-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223068	WSEA	True	0.96585345	Resistant	MaeSot_Thailand
PD0563-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223069	WSEA	True	0.9991789	Resistant	MaeSot_Thailand
PD0564-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223070	WSEA	True	0.9972153	Resistant	MaeSot_Thailand
PD0565-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223071	WSEA	True	0.9996466	Resistant	MaeSot_Thailand
PD0567-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223073	WSEA	True	0.9948228	Sensitive	MaeSot_Thailand
PD0569-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216539	WSEA	True	0.9982061	Resistant	MaeSot_Thailand
PD0570-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216540	WSEA	True	0.999303	Resistant	MaeSot_Thailand
PD0571-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216541	WSEA	True	0.9987538	Resistant	MaeSot_Thailand
PD0572-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216521	WSEA	True	0.99673307	Resistant	MaeSot_Thailand
PD0573-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216542	WSEA	True	0.9994035	Resistant	MaeSot_Thailand
PD0574-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216522	WSEA	True	0.999141	Sensitive	MaeSot_Thailand
PD0575-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR248938	ESEA	True	0.99982417	Resistant	Sisakhet_Thailand
PD0576-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR248942	ESEA	True	0.9608676	Undetermined	Sisakhet_Thailand
PD0578-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR248944	ESEA	True	0.99965584	Resistant	Sisakhet_Thailand
PD0579-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR248945	ESEA	True	0.9999469	Resistant	Sisakhet_Thailand
PD0580-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR248946	ESEA	True	0.99981517	Resistant	Sisakhet_Thailand
PD0581-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248947	WSEA	True	0.9989666	Resistant	Ranong_Thailand
PD0582-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248948	WSEA	True	0.999692	Sensitive	Ranong_Thailand
PD0583-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248949	WSEA	True	0.99846005	Resistant	Ranong_Thailand
PD0584-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248939	WSEA	True	0.99908704	Resistant	Ranong_Thailand
PD0585-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248940	WSEA	True	0.9569745	Sensitive	Ranong_Thailand
PD0586-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248941	WSEA	True	0.99998975	Sensitive	Ranong_Thailand
PD0587-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR337555	WSEA	True	0.9987575	Resistant	Ranong_Thailand
PD0589-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR337557	WSEA	True	0.9961844	Sensitive	Ranong_Thailand
PD0590-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR337571	WSEA	True	0.9986056	Resistant	Ranong_Thailand
PD0626-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR426121	WSEA	True	0.9970962	Sensitive	MaeSot_Thailand
PD0627-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR426082	WSEA	True	0.9990716	Resistant	MaeSot_Thailand
PD0629-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR404249	WSEA	True	0.99905103	Resistant	MaeSot_Thailand
PD0630-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR404250	WSEA	True	0.99885845	Sensitive	MaeSot_Thailand
PD0632-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR426028	WSEA	True	0.9982529	Sensitive	MaeSot_Thailand
PD0635-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR404185	WSEA	True	0.99777544	Resistant	MaeSot_Thailand
PD0636-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR426016	WSEA	True	0.99519634	Resistant	MaeSot_Thailand
PD0637-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR404256	WSEA	True	0.9994086	Sensitive	MaeSot_Thailand
PD0638-C	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR426107	WSEA	True	0.9933993	Sensitive	MaeSot_Thailand
PD0648-C	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR425999	WSEA	True	0.9970214	Resistant	Ranong_Thailand
PD0651-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR426036	ESEA	True	0.9990642	Resistant	Sisakhet_Thailand
PD0658-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR426022	ESEA	True	0.9998494	Resistant	Sisakhet_Thailand
PD0659-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR426034	ESEA	True	0.9997968	Resistant	Sisakhet_Thailand
PD0662-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR426023	ESEA	True	0.99963456	Resistant	Sisakhet_Thailand
PD0663-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR404248	ESEA	True	0.99984753	Resistant	Sisakhet_Thailand
PD0664-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2012	ERR426033	ESEA	True	0.99956584	Resistant	Sisakhet_Thailand
PD0668-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2013	ERR426140	ESEA	True	0.9999078	Resistant	Sisakhet_Thailand
PD0670-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	2013	ERR404221	ESEA	True	1	Resistant	Sisakhet_Thailand
PH0502-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR126016	ESEA	True	0.99997705	Sensitive	Ratanakiri_Cambodia
PH0506-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR126017	ESEA	True	0.9996379	Sensitive	Ratanakiri_Cambodia
PH0507-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR063639	ESEA	True	1	Sensitive	Ratanakiri_Cambodia
PH0508-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR067573	ESEA	True	0.9992191	Sensitive	Ratanakiri_Cambodia
PH0513-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063635	ESEA	True	0.99929565	Sensitive	PreahVihear_Cambodia
PH0514-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063623	ESEA	True	0.99918777	Resistant	PreahVihear_Cambodia
PH0515-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR067571	ESEA	True	1	Resistant	PreahVihear_Cambodia
PH0516-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063631	ESEA	True	0.99833214	Resistant	PreahVihear_Cambodia
PH0517-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063632	ESEA	True	0.99858624	Sensitive	PreahVihear_Cambodia
PH0518-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063622	ESEA	True	0.9983756	Sensitive	PreahVihear_Cambodia
PH0519-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR067565	ESEA	True	0.99995524	Sensitive	PreahVihear_Cambodia
PH0520-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR067574	ESEA	True	0.9990032	Resistant	PreahVihear_Cambodia
PH0521-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR067572	ESEA	True	0.9994025	Sensitive	PreahVihear_Cambodia
PH0522-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063634	ESEA	True	0.9992406	Sensitive	PreahVihear_Cambodia
PH0523-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063637	ESEA	True	0.9996123	Resistant	PreahVihear_Cambodia
PH0524-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063629	ESEA	True	0.9992997	Sensitive	PreahVihear_Cambodia
PH0525-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063630	ESEA	True	0.9985111	Resistant	PreahVihear_Cambodia
PH0526-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205942	ESEA	True	0.99480164	Sensitive	Pursat_Cambodia
PH0527-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205949	ESEA	True	0.98463833	Resistant	Pursat_Cambodia
PH0528-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR063625	ESEA	True	0.9995273	Resistant	Pursat_Cambodia
PH0529-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205948	ESEA	True	0.99834025	Resistant	Pursat_Cambodia
PH0530-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205943	ESEA	True	0.9994991	Resistant	Pursat_Cambodia
PH0531-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR063619	ESEA	True	0.9965806	Resistant	Pursat_Cambodia
PH0532-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205944	ESEA	True	0.99982405	Resistant	Pursat_Cambodia
PH0533-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR067568	ESEA	True	0.9965568	Resistant	Pursat_Cambodia
PH0534-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR063620	ESEA	True	0.9981551	Resistant	Pursat_Cambodia
PH0535-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205941	ESEA	True	0.9997263	Resistant	Pursat_Cambodia
PH0537-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR067564	ESEA	True	0.9998389	Resistant	Pursat_Cambodia
PH0538-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR067566	ESEA	True	0.9990924	Resistant	Pursat_Cambodia
PH0539-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR063618	ESEA	True	0.99662644	Resistant	Pursat_Cambodia
PH0540-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205937	ESEA	True	0.9959048	Resistant	Pursat_Cambodia
PH0541-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR126018	ESEA	True	0.98410475	Resistant	Pursat_Cambodia
PH0542-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR063633	ESEA	True	0.9958402	Sensitive	Pursat_Cambodia
PH0543-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205950	ESEA	True	0.99986124	Resistant	Pursat_Cambodia
PH0544-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR067569	ESEA	True	0.9978274	Resistant	Pursat_Cambodia
PH0551-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123809	ESEA	True	0.99509525	Resistant	Pursat_Cambodia
PH0552-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123810	ESEA	True	0.99588674	Resistant	Pursat_Cambodia
PH0553-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123811	ESEA	True	0.9996747	Resistant	Pursat_Cambodia
PH0554-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123812	ESEA	True	0.9996475	Resistant	Pursat_Cambodia
PH0555-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123813	ESEA	True	0.9970302	Sensitive	Pursat_Cambodia
PH0556-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123814	ESEA	True	0.9968045	Resistant	Pursat_Cambodia
PH0558-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123816	ESEA	True	0.9963573	Resistant	Pursat_Cambodia
PH0559-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123817	ESEA	True	0.99957085	Resistant	Pursat_Cambodia
PH0560-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123818	ESEA	True	0.9989164	Resistant	Pursat_Cambodia
PH0561-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123819	ESEA	True	0.9850732	Resistant	Pursat_Cambodia
PH0562-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123820	ESEA	True	0.9963	Resistant	Pursat_Cambodia
PH0563-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123821	ESEA	True	0.9959545	Resistant	Pursat_Cambodia
PH0565-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123823	ESEA	True	0.99933785	Resistant	Pursat_Cambodia
PH0566-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123824	ESEA	True	0.97513026	Resistant	Pursat_Cambodia
PH0569-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123827	ESEA	True	0.9979791	Sensitive	Pursat_Cambodia
PH0570-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123828	ESEA	True	0.99617904	Resistant	Pursat_Cambodia
PH0571-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123829	ESEA	True	0.99433553	Sensitive	Pursat_Cambodia
PH0576-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123834	ESEA	True	0.9979668	Resistant	Pursat_Cambodia
PH0578-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123836	ESEA	True	0.99526006	Resistant	Pursat_Cambodia
PH0579-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123837	ESEA	True	0.9947009	Resistant	Pursat_Cambodia
PH0582-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123840	ESEA	True	0.99904674	Sensitive	Pursat_Cambodia
PH0584-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123842	ESEA	True	0.99955744	Resistant	Pursat_Cambodia
PH0585-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123843	ESEA	True	0.99826646	Sensitive	PreahVihear_Cambodia
PH0586-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123844	ESEA	True	0.9981264	Resistant	PreahVihear_Cambodia
PH0587-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123845	ESEA	True	0.9984623	Resistant	PreahVihear_Cambodia
PH0589-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123847	ESEA	True	0.99850756	Sensitive	PreahVihear_Cambodia
PH0592-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123850	ESEA	True	0.974426	Sensitive	PreahVihear_Cambodia
PH0593-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123851	ESEA	True	0.99745715	Sensitive	PreahVihear_Cambodia
PH0596-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR114347	ESEA	True	0.99542624	Resistant	PreahVihear_Cambodia
PH0597-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123854	ESEA	True	0.99742967	Sensitive	PreahVihear_Cambodia
PH0598-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123855	ESEA	True	0.9906417	Sensitive	PreahVihear_Cambodia
PH0599-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123856	ESEA	True	0.9986563	Sensitive	PreahVihear_Cambodia
PH0600-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123857	ESEA	True	0.99874675	Sensitive	PreahVihear_Cambodia
PH0601-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123858	ESEA	True	0.9975393	Sensitive	PreahVihear_Cambodia
PH0602-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123859	ESEA	True	0.99910414	Resistant	PreahVihear_Cambodia
PH0604-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR114348	ESEA	True	0.99820083	Sensitive	PreahVihear_Cambodia
PH0605-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR114349	ESEA	True	0.9981585	Sensitive	PreahVihear_Cambodia
PH0608-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123863	ESEA	True	1	Sensitive	PreahVihear_Cambodia
PH0609-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123864	ESEA	True	0.999936	Sensitive	PreahVihear_Cambodia
