Individual	distances	assgn_clus	Initial_SiteCountry	Study	Site	Country	Year	ENA	Population	QC_pass	Fws	Artemisinin	SiteCountry
PD0520-C	0.918178175910733	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221494	WSEA	True	0.9996241	Resistant	MaeSot_Thailand
PD0521-C	1.42918614721131	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216506	WSEA	True	0.9997471	Resistant	MaeSot_Thailand
PD0522-C	1.49197286086562	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216507	WSEA	True	0.9991003	Resistant	MaeSot_Thailand
PD0523-C	1.45616621683396	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221495	WSEA	True	0.99993455	Resistant	MaeSot_Thailand
PD0524-C	1.11338127126084	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221496	WSEA	True	0.9781233	Sensitive	MaeSot_Thailand
PD0525-C	1.45949619884559	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221497	WSEA	True	0.99948406	Resistant	MaeSot_Thailand
PD0528-C	1.49123088915646	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221499	WSEA	True	0.9998138	Resistant	MaeSot_Thailand
PD0529-C	0.837061848772744	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221500	WSEA	True	0.9984361	Resistant	MaeSot_Thailand
PD0530-C	1.36320913607702	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221501	WSEA	True	0.9993415	Resistant	MaeSot_Thailand
PD0532-C	0.869173146648188	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221502	WSEA	True	0.9995655	Sensitive	MaeSot_Thailand
PD0533-C	1.64216551277402	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216510	WSEA	True	0.9987243	Resistant	MaeSot_Thailand
PD0535-C	0.756937882216149	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221503	WSEA	True	0.99997467	Resistant	MaeSot_Thailand
PD0539-C	1.21691102319418	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221505	WSEA	True	0.9986409	Resistant	MaeSot_Thailand
PD0540-C	1.08500191731976	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221506	WSEA	True	0.9590827	Resistant	MaeSot_Thailand
PD0541-C	0.960764938580172	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221507	WSEA	True	0.9974629	Sensitive	MaeSot_Thailand
PD0543-C	0.846726147350864	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221508	WSEA	True	0.9973175	Sensitive	MaeSot_Thailand
PD0544-C	0.866936312998477	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221509	WSEA	True	0.9992162	Sensitive	MaeSot_Thailand
PD0545-C	1.10054072565491	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR221510	WSEA	True	0.96738034	Resistant	MaeSot_Thailand
PD0547-C	0.869362036928132	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223062	WSEA	True	0.9983398	Resistant	MaeSot_Thailand
PD0548-C	0.985298973843718	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223063	WSEA	True	0.9972534	Resistant	MaeSot_Thailand
PD0550-C	0.554439747026304	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR216515	WSEA	True	0.99677527	Sensitive	MaeSot_Thailand
PD0552-C	0.979324474325942	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR216516	WSEA	True	0.9991426	Resistant	MaeSot_Thailand
PD0553-C	0.912902013614582	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216517	WSEA	True	0.9987411	Resistant	MaeSot_Thailand
PD0555-C	2.1433440629956	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216518	WSEA	True	0.99725354	Undetermined	MaeSot_Thailand
PD0556-C	0.966400805555797	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216519	WSEA	True	0.99818283	Resistant	MaeSot_Thailand
PD0557-C	0.685939280357313	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223065	WSEA	True	0.9931553	Resistant	MaeSot_Thailand
PD0558-C	1.50602458015775	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223066	WSEA	True	0.99834716	Resistant	MaeSot_Thailand
PD0559-C	0.720901145398283	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216520	WSEA	True	0.9899504	Resistant	MaeSot_Thailand
PD0561-C	1.35486869361124	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223067	WSEA	True	0.9991775	Sensitive	MaeSot_Thailand
PD0562-C	0.669517382516728	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223068	WSEA	True	0.96585345	Resistant	MaeSot_Thailand
PD0563-C	0.990959973499069	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223069	WSEA	True	0.9991789	Resistant	MaeSot_Thailand
PD0564-C	1.53643765262352	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223070	WSEA	True	0.9972153	Resistant	MaeSot_Thailand
PD0565-C	0.612570722803036	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223071	WSEA	True	0.9996466	Resistant	MaeSot_Thailand
PD0567-C	0.909802492749252	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR223073	WSEA	True	0.9948228	Sensitive	MaeSot_Thailand
PD0570-C	1.44509993214719	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216540	WSEA	True	0.999303	Resistant	MaeSot_Thailand
PD0571-C	0.533160524794127	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216541	WSEA	True	0.9987538	Resistant	MaeSot_Thailand
PD0572-C	1.16015352614161	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216521	WSEA	True	0.99673307	Resistant	MaeSot_Thailand
PD0573-C	0.942859847602521	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR216542	WSEA	True	0.9994035	Resistant	MaeSot_Thailand
PD0581-C	1.31136907890528	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248947	WSEA	True	0.9989666	Resistant	Ranong_Thailand
PD0582-C	1.24645126569708	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248948	WSEA	True	0.999692	Sensitive	Ranong_Thailand
PD0583-C	1.31387845798592	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248949	WSEA	True	0.99846005	Resistant	Ranong_Thailand
PD0584-C	1.29969871371984	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248939	WSEA	True	0.99908704	Resistant	Ranong_Thailand
PD0586-C	1.26164541332581	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR248941	WSEA	True	0.99998975	Sensitive	Ranong_Thailand
PD0587-C	1.30382178191587	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR337555	WSEA	True	0.9987575	Resistant	Ranong_Thailand
PD0589-C	1.13454477947076	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2012	ERR337557	WSEA	True	0.9961844	Sensitive	Ranong_Thailand
PD0626-C	1.61293318340966	4	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR426121	WSEA	True	0.9970962	Sensitive	MaeSot_Thailand
PD0629-C	0.727685749730393	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2011	ERR404249	WSEA	True	0.99905103	Resistant	MaeSot_Thailand
PD0632-C	0.913242911913393	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR426028	WSEA	True	0.9982529	Sensitive	MaeSot_Thailand
PD0637-C	0.759289389038652	1	MaeSot_Thailand	1052-PF-TRAC-WHITE	MaeSot	Thailand	2012	ERR404256	WSEA	True	0.9994086	Sensitive	MaeSot_Thailand
PD0648-C	2.34737443534027	1	Ranong_Thailand	1052-PF-TRAC-WHITE	Ranong	Thailand	2011	ERR425999	WSEA	True	0.9970214	Resistant	Ranong_Thailand
PH0502-C	0.574843445235213	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR126016	ESEA	True	0.99997705	Sensitive	Ratanakiri_Cambodia
PH0506-C	0.798776088175767	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR126017	ESEA	True	0.9996379	Sensitive	Ratanakiri_Cambodia
PH0507-C	1.06161061383006	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR063639	ESEA	True	1	Sensitive	Ratanakiri_Cambodia
PH0508-C	0.492124066113551	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR067573	ESEA	True	0.9992191	Sensitive	Ratanakiri_Cambodia
PH0513-C	1.07345375246839	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063635	ESEA	True	0.99929565	Sensitive	PreahVihear_Cambodia
PH0514-C	1.83174955333685	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063623	ESEA	True	0.99918777	Resistant	PreahVihear_Cambodia
PH0517-C	0.42842670548459	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063632	ESEA	True	0.99858624	Sensitive	PreahVihear_Cambodia
PH0519-C	1.69210982044063	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR067565	ESEA	True	0.99995524	Sensitive	PreahVihear_Cambodia
PH0520-C	1.21339338811393	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR067574	ESEA	True	0.9990032	Resistant	PreahVihear_Cambodia
PH0521-C	1.71784191862058	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR067572	ESEA	True	0.9994025	Sensitive	PreahVihear_Cambodia
PH0522-C	1.99798731241121	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063634	ESEA	True	0.9992406	Sensitive	PreahVihear_Cambodia
PH0523-C	1.26338383381433	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063637	ESEA	True	0.9996123	Resistant	PreahVihear_Cambodia
PH0524-C	0.913504444969977	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR063629	ESEA	True	0.9992997	Sensitive	PreahVihear_Cambodia
PH0526-C	2.49512403031687	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205942	ESEA	True	0.99480164	Sensitive	Pursat_Cambodia
PH0527-C	1.72283663785147	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205949	ESEA	True	0.98463833	Resistant	Pursat_Cambodia
PH0531-C	2.27247379680735	4	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR063619	ESEA	True	0.9965806	Resistant	Pursat_Cambodia
PH0541-C	1.38527063879237	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR126018	ESEA	True	0.98410475	Resistant	Pursat_Cambodia
PH0542-C	2.30384112419164	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR063633	ESEA	True	0.9958402	Sensitive	Pursat_Cambodia
PH0551-C	1.35786514378411	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123809	ESEA	True	0.99509525	Resistant	Pursat_Cambodia
PH0556-C	2.1349704938721	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123814	ESEA	True	0.9968045	Resistant	Pursat_Cambodia
PH0562-C	1.4372771858893	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123820	ESEA	True	0.9963	Resistant	Pursat_Cambodia
PH0563-C	1.3445106853899	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123821	ESEA	True	0.9959545	Resistant	Pursat_Cambodia
PH0566-C	1.21868023115607	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123824	ESEA	True	0.97513026	Resistant	Pursat_Cambodia
PH0571-C	2.18911284458752	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123829	ESEA	True	0.99433553	Sensitive	Pursat_Cambodia
