Individual	distances	assgn_clus	Initial_SiteCountry	Study	Site	Country	Year	ENA	Population	QC_pass	Fws	Artemisinin	SiteCountry
PH0709-C	1.22807368377582	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171651	ESEA	True	0.99635166	Sensitive	Pursat_Cambodia
PH0715-C	1.38646932920955	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR205968	ESEA	True	0.9898391	Resistant	Pursat_Cambodia
PH0717-C	1.86089671737162	4	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171593	ESEA	True	0.96301657	Sensitive	Pursat_Cambodia
PH0727-C	0.648903275048344	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR205972	ESEA	True	0.99408805	Sensitive	PreahVihear_Cambodia
PH0732-C	2.27298469524726	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171600	ESEA	True	0.9982249	Sensitive	PreahVihear_Cambodia
PH0737-C	0.551458071831129	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR205965	ESEA	True	0.990871	Sensitive	PreahVihear_Cambodia
PH0738-C	1.31658339520055	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171605	ESEA	True	0.9997819	Resistant	PreahVihear_Cambodia
PH0739-C	1.88519370443634	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171606	ESEA	True	0.99829715	Sensitive	PreahVihear_Cambodia
PH0746-C	1.26825421894391	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171611	ESEA	True	0.9998785	Sensitive	PreahVihear_Cambodia
PH0752-C	2.26404770555642	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR216654	ESEA	True	0.997777	Sensitive	PreahVihear_Cambodia
PH0754-C	0.470286735273403	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171653	ESEA	True	0.99952424	Sensitive	PreahVihear_Cambodia
PH0756-Cx	0.94758123115823	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR388765	ESEA	True	0.9998607	Sensitive	PreahVihear_Cambodia
PH0757-C	2.52008418867398	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171614	ESEA	True	0.9985101	Resistant	PreahVihear_Cambodia
PH0758-C	1.77789630706635	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171615	ESEA	True	0.998842	Sensitive	PreahVihear_Cambodia
PH0759-C	1.83390033916259	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171650	ESEA	True	0.99946636	Sensitive	PreahVihear_Cambodia
PH0761-C	1.43304390798616	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR171652	ESEA	True	0.99829644	Sensitive	PreahVihear_Cambodia
PH0765-C	1.21975885514693	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171619	ESEA	True	0.998786	Sensitive	Ratanakiri_Cambodia
PH0770-C	0.619301714537336	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171623	ESEA	True	0.99962246	Sensitive	Ratanakiri_Cambodia
PH0772-C	1.2396290097952	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171624	ESEA	True	0.9994832	Sensitive	Ratanakiri_Cambodia
PH0773-Cx	1.2778512349185	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR404183	ESEA	True	0.9989661	Sensitive	Ratanakiri_Cambodia
PH0775-Cx	1.20776441686505	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR388772	ESEA	True	0.9994872	Sensitive	Ratanakiri_Cambodia
PH0776-C	1.43610869653569	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171626	ESEA	True	0.99910724	Sensitive	Ratanakiri_Cambodia
PH0778-C	1.61993355906377	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171628	ESEA	True	0.9989832	Sensitive	Ratanakiri_Cambodia
PH0780-C	0.868028366815614	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171629	ESEA	True	0.9975664	Sensitive	Ratanakiri_Cambodia
PH0783-C	1.28122138934859	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171630	ESEA	True	0.99932003	Sensitive	Ratanakiri_Cambodia
PH0784-C	0.835761679048712	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR205962	ESEA	True	0.9976217	Resistant	Ratanakiri_Cambodia
PH0785-Cx	1.88578123842859	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR388779	ESEA	True	0.99856395	Sensitive	Ratanakiri_Cambodia
PH0788-C	1.18037360718685	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171654	ESEA	True	0.9976694	Sensitive	Ratanakiri_Cambodia
PH0789-C	1.98929409843903	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171631	ESEA	True	0.9964281	Sensitive	Ratanakiri_Cambodia
PH0790-C	0.522318159488712	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171632	ESEA	True	0.99914956	Sensitive	Ratanakiri_Cambodia
PH0794-C	1.99327730391076	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR337561	ESEA	True	0.99631923	Sensitive	Ratanakiri_Cambodia
PH0795-C	1.90707389591098	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171635	ESEA	True	0.9993857	Sensitive	Ratanakiri_Cambodia
PH0797-C	1.99400674808126	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171636	ESEA	True	0.997356	Sensitive	Ratanakiri_Cambodia
PH0801-C	1.89425390628306	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171637	ESEA	True	0.9989243	Sensitive	Ratanakiri_Cambodia
PH0805-C	0.807554849613291	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171639	ESEA	True	0.9986883	Sensitive	Ratanakiri_Cambodia
PH0807-C	0.325541926812519	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171640	ESEA	True	0.9974198	Sensitive	Ratanakiri_Cambodia
PH0810-C	1.3162276562916	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171641	ESEA	True	0.9980415	Sensitive	Ratanakiri_Cambodia
PH0813-C	0.84938485985229	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR171643	ESEA	True	0.99964815	Sensitive	Ratanakiri_Cambodia
PH0814-Cx	1.81112322969937	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR388767	ESEA	True	1	Sensitive	Ratanakiri_Cambodia
PH0838-C	1.7429129283817	6	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR171566	ESEA	True	0.969112	Resistant	Pailin_Cambodia
PH0845-C	2.52557083180818	6	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180086	ESEA	True	0.98070174	Resistant	Pailin_Cambodia
PH0848-C	1.01589245405496	4	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180090	ESEA	True	0.9967963	Sensitive	Pailin_Cambodia
PH0856-C	2.06792742182847	1	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR180093	ESEA	True	0.9991044	Resistant	Pailin_Cambodia
PH0860-Cx	1.11586791302586	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2012	ERR388741	ESEA	True	0.99670786	Resistant	Pursat_Cambodia
PH0865-C	1.53759342627549	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216646	ESEA	True	0.9985373	Sensitive	PreahVihear_Cambodia
PH0866-C	1.58751167114347	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216535	ESEA	True	0.99862975	Sensitive	PreahVihear_Cambodia
PH0871-C	0.79833367722523	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216612	ESEA	True	0.9991784	Sensitive	PreahVihear_Cambodia
PH0875-C	1.11114291853313	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR216613	ESEA	True	0.9992903	Sensitive	PreahVihear_Cambodia
PH0877-C	1.05134524152922	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR216615	ESEA	True	0.99880755	Sensitive	Ratanakiri_Cambodia
PH0878-C	1.04857367559301	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR216616	ESEA	True	0.9986561	Sensitive	Ratanakiri_Cambodia
PH0879-C	0.561858638833782	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR216617	ESEA	True	0.9988946	Sensitive	Ratanakiri_Cambodia
PH0880-C	1.24433598015848	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR216618	ESEA	True	0.9985874	Sensitive	Ratanakiri_Cambodia
PH0885-Cx	1.11313846936511	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR388797	ESEA	True	0.9990077	Sensitive	Ratanakiri_Cambodia
PH0909-C	2.53293683910345	6	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR216627	ESEA	True	0.9965715	Resistant	Pailin_Cambodia
PH0925-C	2.30332994617978	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235930	ESEA	True	0.99819285	Sensitive	PreahVihear_Cambodia
PH0926-C	2.05000341257258	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235931	ESEA	True	0.9976623	Sensitive	PreahVihear_Cambodia
PH0927-C	0.797201178105803	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235932	ESEA	True	0.9980938	Sensitive	PreahVihear_Cambodia
PH0928-C	0.84548294062562	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR235933	ESEA	True	0.99970645	Sensitive	PreahVihear_Cambodia
PH0930-Cx	0.963606537547574	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR388761	ESEA	True	0.98786664	Sensitive	PreahVihear_Cambodia
PH0932-C	1.35684783075358	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR234509	ESEA	True	0.9871085	Sensitive	PreahVihear_Cambodia
PH0933-C	1.04507204982669	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR234510	ESEA	True	0.9990495	Sensitive	Ratanakiri_Cambodia
PH0937-C	1.6003105671376	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR234513	ESEA	True	0.99421036	Sensitive	Ratanakiri_Cambodia
PH0939-C	0.565414866578075	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR234515	ESEA	True	0.9983859	Sensitive	Ratanakiri_Cambodia
PH0942-Cx	0.525353979142318	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR404182	ESEA	True	0.99979764	Sensitive	Ratanakiri_Cambodia
PH0976-C	0.848625776571127	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337591	ESEA	True	0.9774729	Sensitive	PreahVihear_Cambodia
PH0980-C	1.04444150916854	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337593	ESEA	True	0.99860024	Sensitive	PreahVihear_Cambodia
PH0981-C	2.02941420916307	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337594	ESEA	True	0.9978014	Sensitive	PreahVihear_Cambodia
PH0982-C	1.34801996904326	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337547	ESEA	True	0.99877006	Sensitive	PreahVihear_Cambodia
PH0984-C	1.0778103832062	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337549	ESEA	True	0.99801415	Sensitive	PreahVihear_Cambodia
PH0994-C	0.968813345402848	6	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246569	ESEA	True	0.99873924	Resistant	Pailin_Cambodia
PH0996-C	0.95259336357184	6	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246570	ESEA	True	0.99860936	Resistant	Pailin_Cambodia
PH0997-C	0.970690258770044	6	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246571	ESEA	True	0.9990837	Resistant	Pailin_Cambodia
PH1000-C	1.34298578568137	4	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR337568	ESEA	True	0.999471	Sensitive	Pailin_Cambodia
PH1137-C	2.36766687509185	6	Pailin_Cambodia	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR404253	ESEA	True	0.9648389	Sensitive	Pailin_Cambodia
PV0245-Cx2	1.13946104367913	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR388795	ESEA	True	0.998889	Sensitive	BinhPhuoc_VietNam
PV0246-C	2.09730405136255	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175499	ESEA	True	0.9970594	Resistant	BinhPhuoc_VietNam
PV0247-Cx2	1.27134679181484	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR388794	ESEA	True	0.99688345	Sensitive	BinhPhuoc_VietNam
PV0249-Cx	0.953598270488911	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR388792	ESEA	True	0.9999109	Sensitive	BinhPhuoc_VietNam
PV0251-C	0.752021540248615	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175509	ESEA	True	0.99960154	Resistant	BinhPhuoc_VietNam
PV0254-C	0.593664133153555	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180092	ESEA	True	0.9976861	Sensitive	BinhPhuoc_VietNam
PV0258-C	0.478931303514583	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175500	ESEA	True	0.9534257	Sensitive	BinhPhuoc_VietNam
PV0259-C	1.841313944007	1	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180082	ESEA	True	0.9989285	Resistant	BinhPhuoc_VietNam
PV0261-C	0.760590340676316	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171581	ESEA	True	0.99844974	Sensitive	BinhPhuoc_VietNam
PV0265-C	0.646451823381603	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171582	ESEA	True	0.99993545	Sensitive	BinhPhuoc_VietNam
PV0267-C	1.26121790708697	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180087	ESEA	True	0.994789	Resistant	BinhPhuoc_VietNam
PV0269-C	1.16765792421493	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180074	ESEA	True	0.9998328	Resistant	BinhPhuoc_VietNam
PV0270-C	0.959105212835262	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180075	ESEA	True	0.99849355	Sensitive	BinhPhuoc_VietNam
PV0271-C	0.893003854334149	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180072	ESEA	True	0.9511906	Sensitive	BinhPhuoc_VietNam
PV0272-C	0.932034748363622	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180062	ESEA	True	0.9996133	Sensitive	BinhPhuoc_VietNam
PV0274-C	1.01619616017045	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180071	ESEA	True	0.9984236	Sensitive	BinhPhuoc_VietNam
PV0279-C	0.976231527071298	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180065	ESEA	True	0.99814606	Sensitive	BinhPhuoc_VietNam
PV0280-C	0.918201058885688	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180089	ESEA	True	0.99980843	Sensitive	BinhPhuoc_VietNam
PV0282-C	1.26038862595743	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180063	ESEA	True	0.9992414	Sensitive	BinhPhuoc_VietNam
PV0284-C	1.19837095586256	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175493	ESEA	True	0.9994096	Sensitive	BinhPhuoc_VietNam
PV0285-C	1.5225869552596	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171572	ESEA	True	0.99939585	Resistant	BinhPhuoc_VietNam
PV0286-C	1.4955904393212	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175503	ESEA	True	0.9957824	Resistant	BinhPhuoc_VietNam
PV0287-C	0.427868579197471	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171573	ESEA	True	0.9967825	Sensitive	BinhPhuoc_VietNam
PV0288-C	1.82459237242833	1	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171570	ESEA	True	0.9981075	Resistant	BinhPhuoc_VietNam
PV0289-C	1.5920062858352	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180085	ESEA	True	0.9993497	Sensitive	BinhPhuoc_VietNam
PV0296-C	0.691858672871364	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180052	ESEA	True	0.99990594	Sensitive	BinhPhuoc_VietNam
PV0298-C	0.698284648557885	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171568	ESEA	True	0.99895734	Sensitive	BinhPhuoc_VietNam
PV0301-C	1.00638079204287	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR164737	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0302-C	1.10296257806504	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216643	ESEA	True	0.9994945	Sensitive	BinhPhuoc_VietNam
PV0304-C	1.01349455134057	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216543	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0305-C	1.08856519350817	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216524	ESEA	True	0.99902487	Sensitive	BinhPhuoc_VietNam
PV0308-Cx	0.920841119054341	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR404179	ESEA	True	0.9991952	Sensitive	BinhPhuoc_VietNam
PV0309-C	0.709781747786	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216526	ESEA	True	0.99642366	Sensitive	BinhPhuoc_VietNam
PV0310-C	0.943375138676328	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR221512	ESEA	True	0.99685735	Sensitive	BinhPhuoc_VietNam
PV0311-C	0.521566993211683	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216544	ESEA	True	0.9995023	Sensitive	BinhPhuoc_VietNam
PV0313-C	0.895313388188048	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221513	ESEA	True	0.9987817	Sensitive	BinhPhuoc_VietNam
PV0314-C	1.5255574745798	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221514	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0315-Cx	1.52054446792269	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR404180	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0317-C	1.2728893881726	1	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221515	ESEA	True	0.9979794	Sensitive	BinhPhuoc_VietNam
PV0319-C	1.27611100737333	1	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221516	ESEA	True	0.999121	Sensitive	BinhPhuoc_VietNam
PV0321-C	0.828619653839154	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221518	ESEA	True	0.99628776	Undetermined	BinhPhuoc_VietNam
PV0325-C	0.979039174716203	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221522	ESEA	True	0.99800557	Sensitive	BinhPhuoc_VietNam
PV0326-C	1.52641611998388	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221523	ESEA	True	0.9998225	Sensitive	BinhPhuoc_VietNam
PV0328-C	0.983087849443782	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216547	ESEA	True	0.9978377	Sensitive	BinhPhuoc_VietNam
PV0329-C	1.64286372079299	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216528	ESEA	True	0.9993711	Sensitive	BinhPhuoc_VietNam
PV0330-C	1.13508046620011	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216548	ESEA	True	0.99959046	Sensitive	BinhPhuoc_VietNam
PV0331-Cx	1.5441526033131	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR404181	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0333-C	0.64843596602129	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216549	ESEA	True	0.9943641	Resistant	BinhPhuoc_VietNam
PV0339-C	1.06819645106953	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR404259	ESEA	True	0.9711299	Resistant	BinhPhuoc_VietNam
PV0340-C	0.754375083869737	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR426011	ESEA	True	0.9988451	Resistant	BinhPhuoc_VietNam
PV0343-C	2.48358404382809	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR426012	ESEA	True	0.99962085	Resistant	BinhPhuoc_VietNam
PV0347-C	1.02679051698978	4	BinhPhuoc_VietNam	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR426120	ESEA	True	0.99860674	Sensitive	BinhPhuoc_VietNam
